step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
2660000,1.357,8624960,8_12_320_320,8,12,320,320,False,True
2680000,1.3575,8624960,8_12_320_320,8,12,320,320,False,True
2700000,1.3576,8624960,8_12_320_320,8,12,320,320,False,True
2720000,1.3566,8624960,8_12_320_320,8,12,320,320,False,True
2740000,1.3565,8624960,8_12_320_320,8,12,320,320,False,True
2760000,1.3568,8624960,8_12_320_320,8,12,320,320,False,True
2780000,1.3559,8624960,8_12_320_320,8,12,320,320,False,True
2800000,1.3551,8624960,8_12_320_320,8,12,320,320,False,True
2820000,1.3554,8624960,8_12_320_320,8,12,320,320,False,True
2840000,1.3551,8624960,8_12_320_320,8,12,320,320,False,True
2860000,1.3568,8624960,8_12_320_320,8,12,320,320,False,True
2880000,1.3546,8624960,8_12_320_320,8,12,320,320,False,True
2900000,1.354,8624960,8_12_320_320,8,12,320,320,False,True
2920000,1.3544,8624960,8_12_320_320,8,12,320,320,False,True
2940000,1.3544,8624960,8_12_320_320,8,12,320,320,False,True
2960000,1.3512,8624960,8_12_320_320,8,12,320,320,False,True
2980000,1.3489,8624960,8_12_320_320,8,12,320,320,False,True
3000000,1.3479,8624960,8_12_320_320,8,12,320,320,False,True
3020000,1.3493,8624960,8_12_320_320,8,12,320,320,False,True
3040000,1.3493,8624960,8_12_320_320,8,12,320,320,False,True
3060000,1.3494,8624960,8_12_320_320,8,12,320,320,False,True
3080000,1.3493,8624960,8_12_320_320,8,12,320,320,False,True
3100000,1.3487,8624960,8_12_320_320,8,12,320,320,False,True
3120000,1.3501,8624960,8_12_320_320,8,12,320,320,False,True
3140000,1.3493,8624960,8_12_320_320,8,12,320,320,False,True
3160000,1.3494,8624960,8_12_320_320,8,12,320,320,False,True
3180000,1.3509,8624960,8_12_320_320,8,12,320,320,False,True
3200000,1.3505,8624960,8_12_320_320,8,12,320,320,False,True
3220000,1.3473,8624960,8_12_320_320,8,12,320,320,False,True
3240000,1.3491,8624960,8_12_320_320,8,12,320,320,False,True
3260000,1.3485,8624960,8_12_320_320,8,12,320,320,False,True
20000,2.0166,7883008,4_12_256_512,4,12,256,512,False,False
40000,1.7902,7883008,4_12_256_512,4,12,256,512,False,False
60000,1.7211,7883008,4_12_256_512,4,12,256,512,False,False
80000,1.6765,7883008,4_12_256_512,4,12,256,512,False,False
100000,1.6457,7883008,4_12_256_512,4,12,256,512,False,False
120000,1.6213,7883008,4_12_256_512,4,12,256,512,False,False
140000,1.6025,7883008,4_12_256_512,4,12,256,512,False,False
160000,1.586,7883008,4_12_256_512,4,12,256,512,False,False
180000,1.5731,7883008,4_12_256_512,4,12,256,512,False,False
200000,1.5609,7883008,4_12_256_512,4,12,256,512,False,False
220000,1.5514,7883008,4_12_256_512,4,12,256,512,False,False
240000,1.5414,7883008,4_12_256_512,4,12,256,512,False,False
260000,1.5346,7883008,4_12_256_512,4,12,256,512,False,False
280000,1.5277,7883008,4_12_256_512,4,12,256,512,False,False
300000,1.5211,7883008,4_12_256_512,4,12,256,512,False,False
320000,1.5143,7883008,4_12_256_512,4,12,256,512,False,False
340000,1.5063,7883008,4_12_256_512,4,12,256,512,False,False
360000,1.4993,7883008,4_12_256_512,4,12,256,512,False,False
380000,1.4922,7883008,4_12_256_512,4,12,256,512,False,False
400000,1.487,7883008,4_12_256_512,4,12,256,512,False,False
420000,1.4825,7883008,4_12_256_512,4,12,256,512,False,False
440000,1.4772,7883008,4_12_256_512,4,12,256,512,False,False
460000,1.4732,7883008,4_12_256_512,4,12,256,512,False,False
480000,1.4685,7883008,4_12_256_512,4,12,256,512,False,False
500000,1.4661,7883008,4_12_256_512,4,12,256,512,False,False
520000,1.463,7883008,4_12_256_512,4,12,256,512,False,False
540000,1.4595,7883008,4_12_256_512,4,12,256,512,False,False
560000,1.4575,7883008,4_12_256_512,4,12,256,512,False,False
580000,1.454,7883008,4_12_256_512,4,12,256,512,False,False
600000,1.4522,7883008,4_12_256_512,4,12,256,512,False,False
620000,1.447,7883008,4_12_256_512,4,12,256,512,False,False
640000,1.4441,7883008,4_12_256_512,4,12,256,512,False,False
660000,1.4424,7883008,4_12_256_512,4,12,256,512,False,False
680000,1.4406,7883008,4_12_256_512,4,12,256,512,False,False
700000,1.438,7883008,4_12_256_512,4,12,256,512,False,False
720000,1.4363,7883008,4_12_256_512,4,12,256,512,False,False
740000,1.4349,7883008,4_12_256_512,4,12,256,512,False,False
760000,1.4333,7883008,4_12_256_512,4,12,256,512,False,False
780000,1.4312,7883008,4_12_256_512,4,12,256,512,False,False
20000,2.0112,7953664,16_22_256_128,16,22,256,128,False,True
40000,1.7836,7953664,16_22_256_128,16,22,256,128,False,True
60000,1.7167,7953664,16_22_256_128,16,22,256,128,False,True
80000,1.6743,7953664,16_22_256_128,16,22,256,128,False,True
100000,1.643,7953664,16_22_256_128,16,22,256,128,False,True
120000,1.6176,7953664,16_22_256_128,16,22,256,128,False,True
140000,1.5978,7953664,16_22_256_128,16,22,256,128,False,True
160000,1.5803,7953664,16_22_256_128,16,22,256,128,False,True
180000,1.5661,7953664,16_22_256_128,16,22,256,128,False,True
200000,1.553,7953664,16_22_256_128,16,22,256,128,False,True
220000,1.5428,7953664,16_22_256_128,16,22,256,128,False,True
240000,1.5324,7953664,16_22_256_128,16,22,256,128,False,True
260000,1.5258,7953664,16_22_256_128,16,22,256,128,False,True
280000,1.5186,7953664,16_22_256_128,16,22,256,128,False,True
300000,1.5121,7953664,16_22_256_128,16,22,256,128,False,True
320000,1.5059,7953664,16_22_256_128,16,22,256,128,False,True
340000,1.4982,7953664,16_22_256_128,16,22,256,128,False,True
360000,1.4912,7953664,16_22_256_128,16,22,256,128,False,True
380000,1.4845,7953664,16_22_256_128,16,22,256,128,False,True
400000,1.4792,7953664,16_22_256_128,16,22,256,128,False,True
420000,1.4747,7953664,16_22_256_128,16,22,256,128,False,True
440000,1.4695,7953664,16_22_256_128,16,22,256,128,False,True
460000,1.4656,7953664,16_22_256_128,16,22,256,128,False,True
480000,1.4611,7953664,16_22_256_128,16,22,256,128,False,True
500000,1.4586,7953664,16_22_256_128,16,22,256,128,False,True
520000,1.4557,7953664,16_22_256_128,16,22,256,128,False,True
540000,1.4524,7953664,16_22_256_128,16,22,256,128,False,True
560000,1.4503,7953664,16_22_256_128,16,22,256,128,False,True
580000,1.4472,7953664,16_22_256_128,16,22,256,128,False,True
600000,1.4455,7953664,16_22_256_128,16,22,256,128,False,True
620000,1.4402,7953664,16_22_256_128,16,22,256,128,False,True
640000,1.4373,7953664,16_22_256_128,16,22,256,128,False,True
660000,1.4357,7953664,16_22_256_128,16,22,256,128,False,True
680000,1.4339,7953664,16_22_256_128,16,22,256,128,False,True
700000,1.4315,7953664,16_22_256_128,16,22,256,128,False,True
720000,1.4297,7953664,16_22_256_128,16,22,256,128,False,True
740000,1.4286,7953664,16_22_256_128,16,22,256,128,False,True
760000,1.4268,7953664,16_22_256_128,16,22,256,128,False,True
780000,1.4247,7953664,16_22_256_128,16,22,256,128,False,True
800000,1.4233,7953664,16_22_256_128,16,22,256,128,False,True
820000,1.4223,7953664,16_22_256_128,16,22,256,128,False,True
840000,1.4175,7953664,16_22_256_128,16,22,256,128,False,True
860000,1.418,7953664,16_22_256_128,16,22,256,128,False,True
880000,1.4164,7953664,16_22_256_128,16,22,256,128,False,True
900000,1.4157,7953664,16_22_256_128,16,22,256,128,False,True
920000,1.4135,7953664,16_22_256_128,16,22,256,128,False,True
940000,1.4129,7953664,16_22_256_128,16,22,256,128,False,True
960000,1.4119,7953664,16_22_256_128,16,22,256,128,False,True
980000,1.4098,7953664,16_22_256_128,16,22,256,128,False,True
1000000,1.4091,7953664,16_22_256_128,16,22,256,128,False,True
1020000,1.4078,7953664,16_22_256_128,16,22,256,128,False,True
1040000,1.4066,7953664,16_22_256_128,16,22,256,128,False,True
1060000,1.4049,7953664,16_22_256_128,16,22,256,128,False,True
1080000,1.404,7953664,16_22_256_128,16,22,256,128,False,True
1100000,1.4038,7953664,16_22_256_128,16,22,256,128,False,True
1120000,1.4028,7953664,16_22_256_128,16,22,256,128,False,True
1140000,1.4017,7953664,16_22_256_128,16,22,256,128,False,True
1160000,1.402,7953664,16_22_256_128,16,22,256,128,False,True
1180000,1.4001,7953664,16_22_256_128,16,22,256,128,False,True
1200000,1.4001,7953664,16_22_256_128,16,22,256,128,False,True
1220000,1.3961,7953664,16_22_256_128,16,22,256,128,False,True
1240000,1.3986,7953664,16_22_256_128,16,22,256,128,False,True
1260000,1.3967,7953664,16_22_256_128,16,22,256,128,False,True
1280000,1.3971,7953664,16_22_256_128,16,22,256,128,False,True
1300000,1.3961,7953664,16_22_256_128,16,22,256,128,False,True
1320000,1.395,7953664,16_22_256_128,16,22,256,128,False,True
1340000,1.3944,7953664,16_22_256_128,16,22,256,128,False,True
1360000,1.3927,7953664,16_22_256_128,16,22,256,128,False,True
1380000,1.3924,7953664,16_22_256_128,16,22,256,128,False,True
1400000,1.3916,7953664,16_22_256_128,16,22,256,128,False,True
1420000,1.3907,7953664,16_22_256_128,16,22,256,128,False,True
1440000,1.3874,7953664,16_22_256_128,16,22,256,128,False,True
20000,2.001,7909440,8_14_320_160,8,14,320,160,False,True
40000,1.7805,7909440,8_14_320_160,8,14,320,160,False,True
60000,1.7146,7909440,8_14_320_160,8,14,320,160,False,True
80000,1.6733,7909440,8_14_320_160,8,14,320,160,False,True
100000,1.6442,7909440,8_14_320_160,8,14,320,160,False,True
120000,1.6207,7909440,8_14_320_160,8,14,320,160,False,True
140000,1.6027,7909440,8_14_320_160,8,14,320,160,False,True
160000,1.5869,7909440,8_14_320_160,8,14,320,160,False,True
180000,1.5744,7909440,8_14_320_160,8,14,320,160,False,True
