step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
920000,1.4601,4605184,8_10_256_256,8,10,256,256,False,True
940000,1.4577,4605184,8_10_256_256,8,10,256,256,False,True
960000,1.4565,4605184,8_10_256_256,8,10,256,256,False,True
980000,1.4567,4605184,8_10_256_256,8,10,256,256,False,True
1000000,1.4532,4605184,8_10_256_256,8,10,256,256,False,True
1020000,1.4526,4605184,8_10_256_256,8,10,256,256,False,True
1040000,1.4515,4605184,8_10_256_256,8,10,256,256,False,True
1060000,1.4504,4605184,8_10_256_256,8,10,256,256,False,True
1080000,1.4495,4605184,8_10_256_256,8,10,256,256,False,True
1100000,1.4496,4605184,8_10_256_256,8,10,256,256,False,True
1120000,1.449,4605184,8_10_256_256,8,10,256,256,False,True
1140000,1.4479,4605184,8_10_256_256,8,10,256,256,False,True
1160000,1.4485,4605184,8_10_256_256,8,10,256,256,False,True
1180000,1.4468,4605184,8_10_256_256,8,10,256,256,False,True
1200000,1.4472,4605184,8_10_256_256,8,10,256,256,False,True
1220000,1.4445,4605184,8_10_256_256,8,10,256,256,False,True
1240000,1.4439,4605184,8_10_256_256,8,10,256,256,False,True
1260000,1.4422,4605184,8_10_256_256,8,10,256,256,False,True
1280000,1.4419,4605184,8_10_256_256,8,10,256,256,False,True
1300000,1.443,4605184,8_10_256_256,8,10,256,256,False,True
1320000,1.4404,4605184,8_10_256_256,8,10,256,256,False,True
1340000,1.442,4605184,8_10_256_256,8,10,256,256,False,True
1360000,1.4404,4605184,8_10_256_256,8,10,256,256,False,True
1380000,1.4403,4605184,8_10_256_256,8,10,256,256,False,True
1400000,1.44,4605184,8_10_256_256,8,10,256,256,False,True
1420000,1.4387,4605184,8_10_256_256,8,10,256,256,False,True
1440000,1.4381,4605184,8_10_256_256,8,10,256,256,False,True
1460000,1.4376,4605184,8_10_256_256,8,10,256,256,False,True
1480000,1.438,4605184,8_10_256_256,8,10,256,256,False,True
1500000,1.4377,4605184,8_10_256_256,8,10,256,256,False,True
1520000,1.4354,4605184,8_10_256_256,8,10,256,256,False,True
1540000,1.4357,4605184,8_10_256_256,8,10,256,256,False,True
1560000,1.4359,4605184,8_10_256_256,8,10,256,256,False,True
1580000,1.4353,4605184,8_10_256_256,8,10,256,256,False,True
